id_producto,no_parte,producto,producto_completo,marca,etiquetas,subcategoria,categoria,cat
76,P686413,Nuez brasil en mitades Dona Betty,Nuez brasil en mitades Dona Betty x 200 g,Dona Betty,Frutos Secos,Pasabocas,Alimentos y Bebidas,A&B
77,P646052,Jabón Deseo manzana,Jabón Deseo manzana x 3 und x 120 g,Deseo,Jabones De Tocador,Cuidado Personal,Salud y Belleza,S&B
78,P536652,Toallas Higiénicas Ellas alas súper confort pague 8 lleve 10,Toallas Higiénicas Ellas alas súper confort pague 8 lleve 10,Ellas,Protección Femenina,Cuidado Personal,Salud y Belleza,S&B
79,P307920,Caldo De Gallina Deshidratado Maggi,Caldo De Gallina X 8 Cubos,Maggi,"Condimentos, Caldos Y Sal",Despensa,Alimentos y Bebidas,A&B
80,P669612,Tocineta al vacío,Tocineta,Montefrio,Carnes Frías Maduradas Y Ahumadas,Charcutería,Alimentos y Bebidas,A&B
81,P768898,Hojas Sazonadoras con Ajo y Cebolla,Hoja Sazonador En Polvo Ajo Y Cebolla 1 Sobre Con 4 Hojas,Maggi,"Bases, Cremas Y Sopas",Despensa,Alimentos y Bebidas,A&B
82,P523634,Jabón Puro Hortensias Flores Bla.Brr.X3Undx220gc-U,Jabón Puro Hortensias Flores Bla.Brr.X3Undx220gc-U,Puro,Jabones De Barra,Cuidado De Ropa Y Calzado,Hogar,HO
83,P452730,Insecticida Raid max mata cucarachas y arañas,Insecticida Raid max mata cucarachas y arañas x 3 und x 235 ml c-u,Raid,Insecticidas,Aseo De Hogar,Hogar,HO
84,P734651,Kumis Colacteos six pack,Kumis Colacteos six pack x 150 g,Colacteos,Kumis,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
85,P458249,Papel Zeux aluminio esterilizado,Papel Zeux aluminio esterilizado x 8 m,Zeux,Servilletas Y Papel Aluminio,Limpieza De Cocina,Hogar,HO
86,P917762,Guante JBO home care domestico corrugado talla 7,Guante JBO home care domestico corrugado talla 7,Jbo Home Care Mp,Guantes,Limpieza De Cocina,Hogar,HO
87,P890633,Queso crema Pasco,Queso crema Pasco x 190 g,Pasco,Queso,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
88,P330114,Agua San Pellegino mineral gas,Agua Mineral Gas,San Pellegrino,Agua,Bebidas,Alimentos y Bebidas,A&B
89,P134927,Cerveza Poker lata,Cerveza Poker lata x355ml,Poker,Cervezas,Vinos Y Licores,Alimentos y Bebidas,A&B
90,P932642,Snacks Hatsu mix nueces frutas yogurt,Snacks Hatsu mix nueces frutas yogurt x 150g,Hatsu,Frutos Secos,Pasabocas,Alimentos y Bebidas,A&B
91,P342609,Powerade Ion 4 Frutas tropicales,Powerade Ion 4 Frutas tropicales x 500 ml,Powerade,Hidratantes,Bebidas,Alimentos y Bebidas,A&B
92,P296143,Galleta Bauducco wafer chocolate,Galleta Bauducco wafer chocolate x 6 paquetes x 180 g,Bauducco,Galletas Dulces,Pasabocas,Alimentos y Bebidas,A&B
93,P657960,Gel moco de gorila squizz estilo punk,Gel moco de gorila squizz estilo punk x 340g,Moco Gorila,Gel Y Fijadores,Cuidado Personal,Salud y Belleza,S&B
94,P753309,Chocolatina Jumbo Maní,Chocolatina Jumbo Maní x 100 g.,Jumbo,Chocolatería,Dulces Y Postres,Alimentos y Bebidas,A&B
95,P517396,Yogo Yogo Premio Mora Alpina,Yogo Yogo Premio Mora Alpina,Yogo Yogo,Yogurt,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
96,P796249,Chocolate Cocoa Fusión oscuro coco tayrona,Chocolate Cocoa Fusión oscuro coco tayrona x 60 g,Cocoa Fusion,Chocolatería,Dulces Y Postres,Alimentos y Bebidas,A&B
97,P441561,Salsa de ají Fruco,Salsa de ají Fruco x 157 ml,Fruco,Salsas Y Vinagres,Despensa,Alimentos y Bebidas,A&B
98,P290129,Pudin gel'Hada Sabor Arequipe x 85 g,Pudin gel'Hada Sabor Arequipe x 85 g,Gelhada,"Gelatinas, Flanes Y Pudines",Dulces Y Postres,Alimentos y Bebidas,A&B
99,P834374,Oxigenta Palette 20 Vol,Oxigenta Palette 20 Vol X 50 ml,Palette,Coloración,Belleza,Salud y Belleza,S&B
100,P720477,Esparcible Rama Con Sal 0% De Colesterol,Esparcible Rama Con Sal 0% De Colesterol x 250g,Rama,Margarina,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
101,P522033,Jugo del valle fresh surtido,Jugo del valle fresh surtido x 200 ml page 4 y lleve 6,Del Valle,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
102,P829320,Bronceador larga duración bronceado Vogue,Bronceador larga duración bronceado Vogue x 14 g,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
103,P299934,Limpiador Sanpic vainilla antibacterial,Limpiador Sanpic vainilla antibacterial x 3 l,Sanpic,Multiusos,Aseo De Hogar,Hogar,HO
104,P161560,Cepillo Dental Colgate Triple Acción Blancura 3und Empaque Familiar,Cepillo Dental Colgate Triple Acción Blancura 3und Empaque Familiar,Colgate,Cuidado Oral,Cuidado Personal,Salud y Belleza,S&B
105,P126014,Esmalte Vogue Efecto Gel Admiración 14 Ml,Esmalte Vogue Efecto Gel Admiración 14 Ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
106,P621664,Salchicha mixta,Salchicha mixta xl montefrío x 10 und x 1kg,Montefrio,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
107,P579226,Ron viejo de caldas fco,Ron viejo de caldas fco x 375 cc,Viejo De Caldas,Ron,Vinos Y Licores,Alimentos y Bebidas,A&B
108,P227846,Pasta Macarrón con Salsa de Queso Doria,Pasta Macarrón con Salsa de Queso Doria x 210 g.,Doria,Pastas,Despensa,Alimentos y Bebidas,A&B
109,P944366,Cera escarlata cojín,Cera escarlata cojín x 700ml,Beisbol,Cera,Aseo De Hogar,Hogar,HO
110,P101554,Tableta Chocolate Leche Karina,Tableta Chocolate Leche Karina X 100g,Karina,Chocolatería,Dulces Y Postres,Alimentos y Bebidas,A&B
111,P411776,Crema Depilatoria Veet Piel Sensible 50ml,Crema Depilatoria Veet Piel Sensible 50ml,Veet,Depilación,Belleza,Salud y Belleza,S&B
112,P854535,Esmalte Vogue Efecto Gel Amistad 14 Ml,Esmalte Vogue Efecto Gel Amistad 14 Ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
113,P828357,Labial Vogue colorissimo mocca,Labial Vogue colorissimo mocca x 2g,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
114,P336192,Maíz pira Maxima,Maíz pira Maxima x 500g,Maxima Mp,Arroz Y Granos,Despensa,Alimentos y Bebidas,A&B
115,P111991,Barra Hatsu mango semillas chia,Barra Hatsu mango semillas chia x 6 und x 25g c-u,Hatsu,Cereales,Despensa,Alimentos y Bebidas,A&B
116,P206343,Esmalte Vogue fantastic beso,Esmalte Vogue fantastic beso x 10 ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
117,P673920,Gatorade Mandarina Pet,Bebida Funcional Mandarina X 500 ml,Gatorade,Hidratantes,Bebidas,Alimentos y Bebidas,A&B
118,P660056,Labial en Barra Larga Duración Vogue Colorissimo Lavanda 2 Gr,Labial en Barra Larga Duración Vogue Colorissimo Lavanda 2 Gr,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
119,P852028,Lentejas Con Salchicha Y Papa Respin,Lentejas Con Salchicha Y Papa Respin x 300 g,Respin,Enlatados Y Conservas,Despensa,Alimentos y Bebidas,A&B
120,P171858,Esmalte Vogue fantastic oasis,Esmalte Vogue fantastic oasis x 10ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
121,P644670,Helado cookies cream Polet,Helado cookies cream Polet x 75 g,Polet,Helados,Productos Congelados,Alimentos y Bebidas,A&B
122,P157670,Desmanchador Frotex crema doy pack,Desmanchador Frotex crema doy pack x 2 und x 280 g c-u,La Carreta,Desmanchadores,Cuidado De Ropa Y Calzado,Hogar,HO
123,P709616,Mortadela Tradicional Zenú,Mortadela Tradicional Zenú x 450 g.,Zenu,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
124,P610406,Pasabocas Tostacos queso,Pasabocas Tostacos queso x200g,Tostacos,Papas Fritas Y Paquetes,Pasabocas,Alimentos y Bebidas,A&B
125,P269505,Clorox Power Gel Regular,Clorox Power Gel Regular x 1000ml,Clorox,Blanqueadores,Aseo De Hogar,Hogar,HO
126,P665752,Arepa Sary queso semillas chía,Arepa Queso C Sem Chia X5 Unds,Sary,Arepas,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
127,P544562,Torta Ramo chocolate,Torta Ramo Chocolate,Ramo,Panadería Empacada,Panadería Y Pastelería,Alimentos y Bebidas,A&B
128,P280428,Refresco Del Valle frutal surtido,Refresco Del Valle frutal surtido x 6 und x 200 ml c-u,Del Valle,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
129,P779205,Betun marron practico Bufalo,Betun marron practico Bufalo x 36 g,Bufalo,Betún,Cuidado De Ropa Y Calzado,Hogar,HO
130,P747265,Esmalte Vogue fantastic almendra,Esmalte Vogue fantastic almendra x 10 ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
131,P759015,Morcilla Zenú,Morcilla Zenú x 500 g.,Zenu,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
132,P492727,Torta Maria Luisa Sin Azucar,Torta Maria Luisa Sin Azucar,Jumbo,Pastelería,Panadería Y Pastelería,Alimentos y Bebidas,A&B
133,P700125,Refresco Soka Mora Light Botella,Refresco Soka Mora Light Botella x 300ml Alpina,Alpina,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
134,P316747,Arepa súper especial queso don maíz,Arepa súper especial queso don maíz x 5 und x 400 g,Don Maiz,Arepas,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
135,P726647,Bebida gaseosa Postobón uva,Bebida gaseosa Postobón uva x 600 ml,Postobon,Gaseosas,Bebidas,Alimentos y Bebidas,A&B
136,P371029,Esmalte Jolie de Vogue nails Ibiza,Esmalte Jolie de Vogue nails Ibiza x 14ml,Jolie De Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
137,P190405,Deditos de queso Farah x 60 und,Deditos de queso Farah x 60 und,Farah,Masas Y Snacks,Productos Congelados,Alimentos y Bebidas,A&B
138,P296182,Limpia vidrios magistral,Limpia vidrios magistral x 2000ml,Konny,Limpieza De Superficies,Aseo De Hogar,Hogar,HO
139,P358619,Gelatina Royal Limón,Gelatina Royal Limón x 40g,Royal,"Gelatinas, Flanes Y Pudines",Dulces Y Postres,Alimentos y Bebidas,A&B
140,P411691,Esmalte Vogue fantastic glaciar,Esmalte Vogue fantastic glaciar x 10 ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
141,P997882,Promo Cepillo Dental Colgate Slim Soft 2unid Pague 1 lleve 2,Promo Cepillo Dental Colgate Slim Soft 2unid Pague 1 lleve 2,Colgate,Cuidado Oral,Cuidado Personal,Salud y Belleza,S&B
142,P439845,Mayonesa La Constancia gourmet doypack,Mayonesa La Constancia gourmet doypack x 300 g,Constancia,Salsas Y Vinagres,Despensa,Alimentos y Bebidas,A&B
143,P853383,Betun Bufalo autobrillante negro en crema,Betun Crema Auto Negro X 40 gr,Bufalo,Betún,Cuidado De Ropa Y Calzado,Hogar,HO
144,P282118,Combo Escoba Mas Trapero 210,Combo Escoba Mas Trapero 210,Eterna,"Baldes, Escobas Y Accesorios",Limpieza De Cocina,Hogar,HO
145,P708193,Quita manchas Clorox ropa ultrablanca sin cloro polvo,Quita manchas Clorox ropa ultrablanca sin cloro polvo x 900g,Clorox,Desmanchadores,Cuidado De Ropa Y Calzado,Hogar,HO
146,P329575,Galletas Lotus Biscoff caramelizada,Galletas Lotus Biscoff caramelizada x 124g,Lotus,Galletas Dulces,Pasabocas,Alimentos y Bebidas,A&B
147,P782816,Pan 8 granos,Pan 8 granos x 500g,Pan Factory,Panadería Artesanal,Panadería Y Pastelería,Alimentos y Bebidas,A&B
148,P116515,Tortilla Comapan Blanca,Tortilla Comapan Blanca x 12 und.,Comapan,Panadería Empacada,Panadería Y Pastelería,Alimentos y Bebidas,A&B
149,P894111,Pasta Monticello linguine,Linguine Nro.7 Monticello,Monticello,Pastas,Despensa,Alimentos y Bebidas,A&B
150,P776699,Aderezos antipasto,Aderezos antipasto x 250g,Aderezos,Enlatados Y Conservas,Despensa,Alimentos y Bebidas,A&B
151,P787805,Fusilli Cuisine & co,Fusilli Cuisine & co x 500 g,Cuisine & Co,Pastas,Despensa,Alimentos y Bebidas,A&B
152,P568555,Alcaparra La Coruña Vinagre,Alcaparra La Coruña Vinagre x 250g,La Coruna,Enlatados Y Conservas,Despensa,Alimentos y Bebidas,A&B
153,P744841,Cepillo Shock plástico pastel cojín sirena,Cepillo Shock plástico pastel cojín sirena,Shock,Accesorios De Belleza,Belleza,Salud y Belleza,S&B
154,P504551,Yogurt Alquería cereal milo,Yogurt Alquería cereal milo x 170 g,Alqueria,Yogurt,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
155,P400053,Snacks Hatsu kale deshidratado,Snacks Hatsu kale deshidratado x 100g,Hatsu,Frutos Secos,Pasabocas,Alimentos y Bebidas,A&B
156,P825805,Gelatina Diety Fresa,Gelatina Diety Fresa x 13g,Diety,"Gelatinas, Flanes Y Pudines",Dulces Y Postres,Alimentos y Bebidas,A&B
157,P352348,Shampoo Naturaleza y vida Coloursafe Rubio,Shampoo Naturaleza y vida Coloursafe Rubio x 300ml,Naturalezayvida,Shampoo,Cuidado Personal,Salud y Belleza,S&B
158,P265324,Papas Rizadas Limón,Papas Rizadas Limón x 115g,Yupi,Papas Fritas Y Paquetes,Pasabocas,Alimentos y Bebidas,A&B
159,P593327,Mascarilla Garnier tela skinactive piel deshidratado,Mascarilla Garnier tela skinactive piel deshidratado x 1 und,Garnier,Acondicionadores Y Tratamientos,Cuidado Personal,Salud y Belleza,S&B
160,P416681,Acondicionador Herbal essences suaviza moringa,Acondicionador Herbal essences suaviza moringa x 400 ml,Herbal Essences,Acondicionadores Y Tratamientos,Cuidado Personal,Salud y Belleza,S&B
161,P431262,Repuesto Aromatizante De Ambiente En Gel Néctar De Flores Glade Sensations 2 Und,Repuesto Aromatizante De Ambiente En Gel Néctar De Flores Glade Sensations 2 Und x 8g c-u,Glade,Ambientadores,Aseo De Hogar,Hogar,HO
162,P514101,nuez de marañón,nuez de marañón x 150 g,Insualimentos,Frutos Secos,Pasabocas,Alimentos y Bebidas,A&B
163,P917367,Lavaloza crema lozacream avena,Lavaplatos Lozacrem Aloe Vera X 800 gr,Loza Crem,Lavalozas,Limpieza De Cocina,Hogar,HO
